epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4873.85,0.60065,0.48933,0.92168,0.90784,0.679,0.76011,0.60776,0.59731,0.54546,0.92027,0.000540037,0.000540037,0.000540037
43,4966.23,0.62471,0.49437,0.92085,0.92854,0.6657,0.75599,0.61672,0.59509,0.52535,0.91475,0.000531038,0.000531038,0.000531038
44,5062.39,0.58936,0.46996,0.91521,0.91167,0.65666,0.75846,0.61165,0.60339,0.53608,0.92374,0.000522039,0.000522039,0.000522039
45,5159.92,0.58503,0.4701,0.91163,0.91581,0.68941,0.76524,0.62063,0.59494,0.52247,0.92168,0.00051304,0.00051304,0.00051304
46,5250.74,0.58328,0.47036,0.90707,0.93395,0.67644,0.76461,0.62685,0.57274,0.51342,0.91212,0.00050404,0.00050404,0.00050404
47,5341.06,0.58863,0.47705,0.91171,0.9143,0.68558,0.77308,0.62389,0.57811,0.50293,0.91368,0.000495041,0.000495041,0.000495041
48,5424.32,0.567,0.45542,0.89961,0.89786,0.67937,0.75842,0.61582,0.58906,0.52237,0.90991,0.000486042,0.000486042,0.000486042
49,5515.02,0.56791,0.45058,0.90316,0.91201,0.69344,0.76942,0.6233,0.58303,0.50109,0.91521,0.000477043,0.000477043,0.000477043
50,5608.84,0.57276,0.45724,0.90563,0.91164,0.67347,0.76491,0.62291,0.58586,0.49986,0.91406,0.000468044,0.000468044,0.000468044
51,5701.23,0.56534,0.44775,0.90149,0.90511,0.69264,0.77875,0.63154,0.57913,0.47635,0.91566,0.000459045,0.000459045,0.000459045
52,5792.07,0.55206,0.43871,0.90036,0.89261,0.70778,0.76912,0.62169,0.57829,0.50231,0.89804,0.000450046,0.000450046,0.000450046
53,5883.15,0.5527,0.43531,0.89632,0.94323,0.67817,0.76985,0.62768,0.57067,0.50083,0.90445,0.000441047,0.000441047,0.000441047
54,5974.09,0.54678,0.42914,0.8951,0.92011,0.68017,0.76844,0.628,0.56977,0.49559,0.90389,0.000432048,0.000432048,0.000432048
55,6064.93,0.5598,0.43312,0.8997,0.90406,0.70414,0.76871,0.63157,0.56586,0.48238,0.90552,0.000423049,0.000423049,0.000423049
56,6160.19,0.5477,0.42537,0.9015,0.93006,0.68769,0.77734,0.63659,0.56548,0.48126,0.90395,0.000414049,0.000414049,0.000414049
57,6251.3,0.52954,0.41925,0.8896,0.92005,0.70602,0.77948,0.64363,0.54922,0.47872,0.89751,0.00040505,0.00040505,0.00040505
58,6344.92,0.52875,0.41914,0.89075,0.90833,0.71403,0.77657,0.64011,0.55582,0.46815,0.90433,0.000396051,0.000396051,0.000396051
59,6435.17,0.5342,0.41269,0.88836,0.89832,0.68997,0.77116,0.63451,0.55675,0.50309,0.90211,0.000387052,0.000387052,0.000387052
60,6531.87,0.52638,0.41192,0.8855,0.90521,0.70254,0.77913,0.64158,0.54589,0.48359,0.89785,0.000378053,0.000378053,0.000378053
61,6629.13,0.52674,0.40448,0.88616,0.92137,0.70086,0.77772,0.64185,0.54121,0.46387,0.89676,0.000369054,0.000369054,0.000369054
62,6719.87,0.53701,0.41325,0.89274,0.88615,0.70385,0.77847,0.63968,0.54609,0.46866,0.90573,0.000360055,0.000360055,0.000360055
63,6813.34,0.52395,0.40703,0.88728,0.9227,0.68631,0.78207,0.64137,0.54385,0.47243,0.89614,0.000351056,0.000351056,0.000351056
64,6907.45,0.51273,0.39106,0.88357,0.89816,0.71038,0.77518,0.64141,0.53135,0.45815,0.89016,0.000342057,0.000342057,0.000342057
65,7003.45,0.51115,0.39229,0.88787,0.91827,0.68142,0.77046,0.63929,0.54048,0.47102,0.90261,0.000333058,0.000333058,0.000333058
66,7094.81,0.497,0.38931,0.8801,0.92001,0.70724,0.77828,0.64114,0.54027,0.45697,0.8931,0.000324058,0.000324058,0.000324058
67,7186.39,0.50585,0.39745,0.8851,0.88024,0.71916,0.78492,0.64515,0.5535,0.4627,0.90769,0.000315059,0.000315059,0.000315059
